ordinal,turn_id,classe_turno,inicio,fim,latencia_segundos,trecho_usuario,nivel_acesso,input_tokens,cached_input_tokens,uncached_input_tokens_aprox,output_tokens,reasoning_output_tokens,tokens_totais,inference_events,tool_calls,tool_output_bytes,read_search_calls,write_calls,dice_calls,other_calls,routed_context_calls,raw_read_calls,schema_discovery_calls,orchestration_calls,prepare_calls,conclude_calls,par_preparar_concluir_exato,decisao_oportunidade,decisao_sem_oportunidade,decisao_ausente,modulos_observados,quantidade_modulos_observados
1,01a09199-34ab-7980-be17-36144ab066ac,avanco_comum,2026-09-11T17:52:11.991000+00:00,2026-09-11T17:53:38.103000+00:00,86.112,"""Não. Se tiver algo perturbando você, e você achar que eu posso resolver, estou aqui pra ajudar, como sempre.""

Ren fala, enquanto olha pro céu estrelado, lembrando que esse talvez tenha sido seu último dia tranquilo em Ravens Bluff.",L2,157760,140160,17600,3693,2061,161453,5,4,27223,1,1,0,2,1,0,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity"", ""npc_social_initiative""]",2
2,01a0919b-4649-73f2-b32d-8377d5872e85,autoria_ou_terminal,2026-09-11T17:54:27.580000+00:00,2026-09-11T18:01:58.591000+00:00,451.011,"Ren se despede de Silva. Fala pra Nera que talvez seja melhor não abusar e hoje ela dormir com Tavin, como de praxe. Ren vai dormir no seu quarto-depósito depois de uma despedia carinhosa com Nera.",L2+RAW,2793381,2721536,71845,15383,8421,2808764,41,40,183887,24,4,0,12,6,18,6,6,4,2,nao,0,4,0,"[""batch_world_boundary"", ""concurrent_adversarial_operations"", ""emergent_sidequest_opportunity"", ""liveness_boundary"", ""npc_social_initiative"", ""persistent_world_conditions"", ""secret_canon"", ""sidequest_success_reactions"", ""world_local_incidents""]",9
3,01a091a5-7ff4-7882-b0a5-fe64b8d874b0,avanco_comum,2026-09-11T18:05:37.709000+00:00,2026-09-11T18:09:38.689000+00:00,240.98,"""Continua, claro. Você pode agendar no dia que convir. Acho que tínhamos combinado algo como uma vez a cada 15 dias, pra manter o público interessado, não é?"" Ren fala, se sentando numa caixa.

""Outra coisa... eu tenho visto muitos orientai",L4T+RAW,1111114,1087744,23370,8923,5447,1120037,10,9,45478,6,1,0,2,4,2,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity"", ""npc_social_initiative""]",2
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,2026-09-11T18:27:04.995000+00:00,2026-09-11T18:32:58.916000+00:00,353.921,"""Obrigado, Jack"", Ren fala.

Ren deita depois que Jack se vai. Fica olhando pro teto, pensando em tantas coisas que tem pra resolver.

Será se ele vai receber atualizações da dona da Casa do Salgueiro Seco? O que ela pediria pela casa? Como",L3+RAW,3237058,3183872,53186,13264,7593,3250322,22,21,124620,10,1,0,10,5,5,2,3,2,1,nao,0,2,0,"[""batch_world_boundary"", ""canonical_secret_quests"", ""emergent_sidequest_authoring"", ""emergent_sidequest_opportunity"", ""liveness_boundary"", ""npc_social_initiative"", ""persistent_world_conditions"", ""secret_canon"", ""underground_tournament"", ""world_local_incidents""]",10
5,01a091c3-3f68-74f2-abda-dc891a3d711b,fronteira_temporal,2026-09-11T18:38:07.257000+00:00,2026-09-11T18:43:33.323000+00:00,326.066,"Ren levanta pela manhã. Depois de um dia tão calmo, ele decide ativar-se novamente. Mais uma vez, tentar encontrar pistas sobre Masao e os Juppongatana.

Usando seu kit de disfarce, Ren se disfarça como um homem kozakurano idoso. Coloca rou",L2+RAW,3244728,3210368,34360,12515,5697,3257243,17,16,66388,6,3,1,6,1,5,0,7,4,3,nao,0,4,0,"[""batch_world_boundary"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""persistent_world_conditions"", ""secret_canon"", ""world_local_incidents""]",6
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,2026-09-11T19:42:12.320000+00:00,2026-09-11T19:43:11.988000+00:00,59.668,"""Diga a ela que vim em nome de um velho amigo, Ren"", Ren fala, mantendo a voz de velho.",L0,73881,57600,16281,2392,1221,76273,4,2,8927,0,1,0,1,0,0,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity""]",1
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,2026-09-11T19:43:56.940000+00:00,2026-09-11T19:48:20.964000+00:00,264.024,"[Acho que você deveria continuar naturalmente, não?]

Ren fica esperando Halessa.",L2+RAW,631916,604928,26988,10343,6430,642259,16,15,52660,4,2,0,9,2,2,0,8,6,2,nao,0,6,0,"[""batch_world_boundary"", ""emergent_sidequest_opportunity"", ""liveness_boundary"", ""npc_social_initiative"", ""persistent_world_conditions""]",5
8,01a0920e-44da-7350-9689-089758c77525,avanco_comum,2026-09-11T20:00:03.854000+00:00,2026-09-11T20:01:58.758000+00:00,114.904,"""Sim, um mensageiro..."", Ren faz uma pausa. ""Um mensageiro que já atuou em missões secretas a pedido da Irmã Halessa Vorn, como entregar intimação para Velis Rook."" Ren fala isso pra que Halessa fique clara de que é ele mesmo. Ren sorri dep",RAW,333782,323712,10070,4168,1907,337950,6,5,16531,3,1,0,1,0,3,0,2,1,1,sim,0,1,0,"[""emergent_sidequest_opportunity"", ""npc_social_initiative""]",2
9,01a09212-b6e6-7e20-9f46-6688a0abae9b,fronteira_temporal,2026-09-11T20:04:55.193000+00:00,2026-09-11T20:09:13.175000+00:00,257.982,"Ren começa contando sobre a prisão que fizera junto de Luath a poucos dias. Fala sobre o pedido de Maerra para proteger as crianças e tudo mais. Ele sabe que a essa altura Halessa sabe do caso, mas provavelmente não sabe dos detalhes.

Expl",L4T+RAW,1150588,1118848,31740,9329,4941,1159917,16,15,72126,10,1,0,4,9,1,0,3,2,1,nao,0,2,0,"[""batch_world_boundary"", ""emergent_sidequest_opportunity"", ""npc_social_initiative""]",3
10,01a09218-1258-7ff1-bba0-a9b544a96536,autoria_ou_terminal,2026-09-11T20:10:46.291000+00:00,2026-09-11T20:22:14.253000+00:00,687.962,[Me explica direitinho porque você rodou poetry run cronica preparar --cena-id s021-ren-relata-prisioneira-masao-a-halessa --sem-oportunidade-sidequest --contexto-tag assunto:masao --participante halessa_vorn --interlocutor halessa_vorn com,L4T+RAW,4620090,4532224,87866,27615,11335,4647705,39,38,219975,32,2,0,4,8,24,0,4,2,2,nao,2,0,0,"[""adversarial_integrity"", ""batch_world_boundary"", ""canon_bridge"", ""canonical_secret_quests"", ""emergent_sidequest_authoring"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""persistent_world_conditions"", ""quest_rewards"", ""reactive_pressure_routing"", ""seven_names_migration_regression"", ""sidequest_progression""]",12
11,01a09229-f0d7-7330-a434-6eb9e1d3d848,fronteira_temporal,2026-09-11T20:30:17.350000+00:00,2026-09-11T20:34:30.619000+00:00,253.269,"""Aceito, claro. Pode deixar que irei quem controlava o restaurante.""

Ren, de posse de uma nova missão, já começa a se empertiguar pra sair, pouco a pouco voltando pra atuação do velho de seu disfarce.

""Muito obrigado, Halessa. Preferi con",RAW,2949079,2922752,26327,9053,3940,2958132,16,15,50091,2,2,0,11,0,2,0,6,5,1,nao,0,5,0,"[""active_sidequest_reassessment"", ""adversarial_integrity"", ""batch_world_boundary"", ""canon_bridge"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""persistent_world_conditions"", ""quest_rewards"", ""reactive_pressure_routing"", ""sidequest_progression"", ""transactional_sidequest_progress""]",11
