event_id,session_id,turn_id,turn_ordinal,interaction_id,interaction_ref,analysis_unit,module_id,capability_id,call_ids_observed,signal_sources,eligibility_observed,activation_observed,observed_result,materialized_result_observed,effect_observed,observable_evidence,inference_confidence,adjudication,cost,detector_version,module_implementation_version,module_evaluation_version
ml2:1:context_and_memory:routed_context_access,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,context_and_memory,routed_context_access,"[""call_A3v7fRSd9eqDvwOoQMNyVDeG"", ""call_sV9pfkZJpoVpoYCeA6qlQdyj"", ""call_6cgWc8AvwF6GjogJDMk4MvhL"", ""call_cvugOsK5RQligOZ0YSP5Wvj0"", ""call_upgBu8faj1xtmhxaEjtLv4Rg"", ""call_gjRY5VROHKbvlc7o54IY6NfS"", ""call_4Cb9SnQY2UzDnEybk4HlA5fR"", ""call_xi1HAi8uJH8YHzzwPgHTiYA0"", ""call_xFqRtE0pGjCdMoge6dhyT3Wo"", ""call_UwWS6uPtFgpRT8yRCn8UXVrh"", ""call_HlmCdNIU2s1GZ0Z425swWegC""]","[""comando"", ""output""]",sim,consulta,acesso_cru_sem_justificativa,,nao,"[""command:routed_context_l2"", ""command:routed_context_l3"", ""command:raw_read""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114987, ""input_tokens"": 121493, ""output_tokens"": 1653, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6506}}",3.0.4,1.0.1,3.0.0
ml2:1:turn_and_session_orchestration:transactional_turn,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,turn_and_session_orchestration,transactional_turn,"[""call_B6L4Vb3mFVTCqHHrJV93SOaE"", ""call_fDkpvNbGe1b39ZfMYdmlD6H5"", ""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA"", ""call_ExW2Bjr83rMlKqYied3uDCZa"", ""call_iuvQ4Rm4JvxWsRr1R4OrhtZk""]","[""comando"", ""output"", ""ticket""]",sim,efeito,ciclo_concluido_apos_retry,turno_commitado,sim,"[""command:cronica_preparar"", ""command:cronica_concluir"", ""ticket:correlation_present"", ""output:versioned_orchestration_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114986, ""input_tokens"": 121492, ""output_tokens"": 1652, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6505}}",3.0.4,1.0.1,3.0.0
ml2:1:turn_and_session_orchestration:session_lifecycle,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,turn_and_session_orchestration,session_lifecycle,"[""call_Bom3QJcizpjoLOBrWa65xEFd""]","[""comando"", ""output""]",sim,efeito,session_checkpoint,session_checkpoint,sim,"[""command:session_checkpoint"", ""output:versioned_session_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.1,3.0.0
ml2:1:turn_and_session_orchestration:idempotent_commit,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,turn_and_session_orchestration,idempotent_commit,"[""call_B6L4Vb3mFVTCqHHrJV93SOaE"", ""call_fDkpvNbGe1b39ZfMYdmlD6H5"", ""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA"", ""call_iuvQ4Rm4JvxWsRr1R4OrhtZk""]","[""output""]",sim,consulta,commit_sem_prova_exatamente_uma_vez,,,"[""output:exactly_once_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.1,3.0.0
ml2:1:narrative_delivery:narrative_density,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,narrative_delivery,narrative_density,[],"[""resposta""]",sim,consulta,densidade_nao_avaliada,,,"[""response:size_observed_without_quality_judgment""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114987, ""input_tokens"": 121493, ""output_tokens"": 1653, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6506}}",3.0.4,1.0.1,3.0.0
ml2:1:narrative_delivery:visible_closure,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,narrative_delivery,visible_closure,[],"[""output"", ""resposta""]",sim,efeito,entrega_correlacionada,entrega_visivel,sim,"[""response:canonical_footer_is_last_line"", ""output:narrative_delivery_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.1,3.0.0
ml2:1:rules_and_character_state:character_time_state,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,evento,rules_and_character_state,character_time_state,"[""call_fDkpvNbGe1b39ZfMYdmlD6H5"", ""call_ExW2Bjr83rMlKqYied3uDCZa"", ""call_iuvQ4Rm4JvxWsRr1R4OrhtZk""]","[""output"", ""ticket""]",sim,efeito,estado_commitado,estado_commitado,sim,"[""output:rules_state_commit_receipt"", ""ticket:legacy_character_or_time_delta""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114987, ""input_tokens"": 121492, ""output_tokens"": 1653, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6506}}",3.0.4,1.0.0,3.0.0
ml2:1:sidequest_authoring:opportunity_gate,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,evento,sidequest_authoring,opportunity_gate,"[""call_B6L4Vb3mFVTCqHHrJV93SOaE"", ""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA""]","[""comando""]",nao,gate_neutro,sem_oportunidade,,,"[""command:sidequest_gate_sem_oportunidade""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114987, ""input_tokens"": 121492, ""output_tokens"": 1653, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6506}}",3.0.4,1.0.0,3.0.0
ml2:1:sidequest_lifecycle:active_reassessment,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,evento,sidequest_lifecycle,active_reassessment,"[""call_B6L4Vb3mFVTCqHHrJV93SOaE"", ""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA""]","[""output""]",indeterminada,consulta,marcador_observado,,,"[""output:active_sidequest_reassessment"", ""output:sidequests_ativas_task48"", ""output:sidequests_ativas:""]",media,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114986, ""input_tokens"": 121492, ""output_tokens"": 1652, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6505}}",3.0.4,1.0.0,3.0.0
ml2:1:sidequest_lifecycle:transactional_progress,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,evento,sidequest_lifecycle,transactional_progress,"[""call_fDkpvNbGe1b39ZfMYdmlD6H5"", ""call_iuvQ4Rm4JvxWsRr1R4OrhtZk""]","[""output""]",indeterminada,consulta,marcador_observado,,,"[""output:transactional_sidequest_progress"", ""output:progresso_sidequests:""]",media,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.0,3.0.0
