tipo,item,rotulo,observado,nota_1a5,ativacao_menos2a2,impacto_menos2a2,comentario
global,ritmo,Ritmo da sessão,,,,,
global,continuidade,Continuidade e coerência,,,,,
global,mundo_vivo,Sensação de mundo vivo,,,,,
global,agencia_justica,Agência e justiça,,,,,
global,profundidade,Profundidade dos desafios,,,,,
global,naturalidade,Naturalidade dos acontecimentos,,,,,
global,confianca,Confiança no estado do mundo,,,,,
modulo,emergent_sidequest_authoring,Qualidade e profundidade das novas missões,,,,,
modulo,sidequest_progression,Ritmo e profundidade do progresso das missões,,,,,
modulo,quest_rewards,Coerência das recompensas e descobertas de missões,,,,,
modulo,sidequest_success_reactions,Naturalidade das reações ao progresso das missões,,,,,
modulo,npc_social_initiative,Naturalidade da iniciativa social dos NPCs,,,,,
modulo,world_local_incidents,Naturalidade dos incidentes e microeventos locais,,,,,
modulo,persistent_world_conditions,Consistência das condições persistentes do mundo,,,,,
modulo,reactive_pressure_routing,Relevância e naturalidade das pressões narrativas,,,,,
