modulo,responsabilidade,visibilidade_jogador,rotulo_jogador,versao_implementacao,versao_avaliacao,avaliacao_ativacao,eventos_detectados,chamadas_detectadas,turnos_detectados,oportunidades_elegiveis,ativacoes_observadas,falsos_positivos,falsos_negativos,precisao_consulta,cobertura_consulta,precisao_efeito,efeitos_avaliaveis,tokens_totais_atribuidos_fracionados,participacao_tokens_fracionados_pct,latencia_exposta_mediana_segundos,latencia_exposta_p90_segundos,nota_calibracao_0a100,nota_eficacia_integridade_0a100,nota_confiabilidade_proxy_0a100,nota_economia_0a100,nota_fluidez_exposta_0a100,nota_desempenho_provisoria_0a100,faixa_desempenho,confianca_amostra_sessao,manifestacoes_jogador,manifestacoes_confirmadas,aplicabilidade_avaliacao,auditorias_semanticas,dimensoes_semanticas_avaliadas,dimensoes_semanticas_inadequadas,gate_oportunidade_preparos,gate_oportunidade_decisoes_validas,gate_oportunidade_violacoes,gate_oportunidade_conformidade_pct,principais_problemas_de_ativacao,subcapacidades,pontuacao_prioridade_0a100,custo_exposto_participa_prioridade,prioridade_provisoria,prioridade_rank
causal_narrative_routing,"Selecionar entre matérias narrativas autorizadas pela causalidade, cronologia e prioridade, sem fabricar pressão.",reservada,Relevância e naturalidade das pressões narrativas,1.0.0,3.0.0,N/D,24,28,24,0,24,0,0,,,,0,3649797,9.2789,215.438,459.742,,,,,26.98,,N/D,N/D,0,0,evidencia_insuficiente,0,0,0,,,,,sinais observados sem elegibilidade ou efeito adjudicável; desempenho permanece N/D,"[{""ativacoes_observadas"": 24, ""capability_id"": ""reactive_pressure_arbitration"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 24, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Ordenar pressões autorizadas e preservar compromissos adversariais.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""dated_secret_canon"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Introduzir evento canônico reservado na data correta.""}]",37.78,sim,sim,1
world_boundary_resolution,Resolver causas vencidas e pendências do mundo antes de cruzar fronteiras narrativas ou temporais.,indireta,Continuidade do mundo nas passagens de tempo,1.0.0,3.0.0,N/D,5,7,5,0,0,0,0,,,,0,1657785,4.2146,459.742,1028.687,,,,,12.36,,N/D,N/D,0,0,evidencia_insuficiente,0,0,0,,,,,sinais observados sem elegibilidade ou efeito adjudicável; desempenho permanece N/D,"[{""ativacoes_observadas"": 0, ""capability_id"": ""temporal_liveness"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 3, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Avaliar causas durante compressões e emitir calma ou interrupção justificadas.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""pending_batch_resolution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 2, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Resolver pendências em lote antes de liberar a escrita.""}]",36.26,sim,sim,2
adversarial_operations,"Comprometer e executar operações adversariais com capacidade, conhecimento, risco, recursos e consequências congelados.",reservada,Integridade e independência das forças adversárias,1.0.0,3.0.0,N/D,1,1,1,0,1,0,0,,,,0,403630,1.0261,634.405,634.405,,,,,14.19,,N/D,N/D,0,0,evidencia_insuficiente,0,0,0,,,,,sinais observados sem elegibilidade ou efeito adjudicável; desempenho permanece N/D,"[{""ativacoes_observadas"": 1, ""capability_id"": ""adversarial_contract_integrity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Congelar capacidade, conhecimento, risco e consequências antes da resolução.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""concurrent_operations"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Separar recursos e consequências de frentes simultâneas.""}]",35.31,sim,sim,3
canonical_quest_integration,"Integrar sidequests e causas canônicas sem promover hipótese a fato, editar o cânone-base ou revelar informação reservada.",reservada,Integração das missões com a trama principal,1.0.0,3.0.0,N/D,0,0,0,0,0,0,0,,,,0,0,0.0,,,,,,,,,N/D,N/D,0,0,sem_evidencia,0,0,0,,,,,nenhuma evidência observável nesta sessão; desempenho permanece N/D,"[{""ativacoes_observadas"": 0, ""capability_id"": ""sidequest_to_canon_bridge"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir ponte causal a partir de fato aceito da sidequest.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""canon_to_quest_opportunity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar oportunidade a partir de causa canônica reservada.""}]",35.0,sim,sim,4
scene_world_projection,"Projetar local, incidentes, microeventos e condições persistentes coerentes sem reroll ou efeito automático indevido.",direta,Vivacidade e consistência dos lugares,1.0.0,3.0.0,ativou a contento,11,16,8,10,11,0,0,100.0,100.0,0.0,1,1868240,4.7496,363.425,508.124,100.0,0.0,100.0,,20.06,57.01,ruim,provisoria,1,1,aplicavel,0,0,0,,,,,1 efeito(s) inadequado(s),"[{""ativacoes_observadas"": 8, ""capability_id"": ""local_incidents"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 8, ""oportunidades_elegiveis"": 8, ""responsabilidade"": ""Reservar e confirmar incidentes ou microeventos uma vez por gatilho elegível.""}, {""ativacoes_observadas"": 1, ""capability_id"": ""persistent_conditions"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar início, vigência e fim de condições persistentes.""}, {""ativacoes_observadas"": 2, ""capability_id"": ""spatial_continuity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 2, ""oportunidades_elegiveis"": 2, ""responsabilidade"": ""Preservar local e janela entre retries e permanências.""}]",31.52,sim,nao,5
sidequest_lifecycle,"Projetar, progredir e encerrar sidequests aceitas, incluindo recompensa e reação causal, de forma atômica e exactly-once.",direta,Continuidade e consequência das missões ativas,1.0.0,3.0.0,ativou a contento,50,59,25,0,50,0,0,,,100.0,4,4517193,11.484,235.854,545.653,,100.0,70.0,,23.72,79.03,atencao,baixa,0,0,aplicavel,0,0,0,,,,,,"[{""ativacoes_observadas"": 25, ""capability_id"": ""active_reassessment"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 25, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar de forma compacta o estado relevante das missões aceitas.""}, {""ativacoes_observadas"": 24, ""capability_id"": ""transactional_progress"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 24, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Decidir e instalar fatos de progresso atomicamente.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""phase_and_terminal_progression"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Manter fases, prazos e condições terminais.""}, {""ativacoes_observadas"": 1, ""capability_id"": ""terminal_rewards"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Aplicar recompensas, descobertas ou perdas exatamente uma vez.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""success_reactions"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir consequência causal pós-progresso sem reabrir a missão.""}]",18.12,sim,nao,6
context_and_memory,"Fornecer somente o contexto necessário e preservar memória factual, autoria e separação das camadas de conhecimento.",indireta,Continuidade e lembrança do que importa,1.0.1,3.0.0,ativou a contento,53,194,26,53,53,0,0,100.0,100.0,66.04,53,4656523,11.8382,238.911,508.124,100.0,66.04,96.04,,24.37,79.76,atencao,provisoria,1,1,aplicavel,0,0,0,,,,,18 efeito(s) inadequado(s),"[{""ativacoes_observadas"": 26, ""capability_id"": ""routed_context_access"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 26, ""oportunidades_elegiveis"": 26, ""responsabilidade"": ""Selecionar o menor degrau de acesso suficiente.""}, {""ativacoes_observadas"": 14, ""capability_id"": ""scene_and_durable_memory"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 14, ""oportunidades_elegiveis"": 14, ""responsabilidade"": ""Projetar e registrar memória com participantes e evidência corretos.""}, {""ativacoes_observadas"": 13, ""capability_id"": ""knowledge_layer_separation"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 13, ""oportunidades_elegiveis"": 13, ""responsabilidade"": ""Impedir fusão entre conhecimento do narrador, mundo, NPC, Ren e jogador.""}]",17.72,sim,nao,7
turn_and_session_orchestration,"Executar o ciclo transacional de turno e sessão exatamente uma vez, com recuperação explícita e commits idempotentes.",tecnica,Confiabilidade dos turnos e sessões,1.0.1,3.0.0,ativou a contento,58,103,26,58,58,0,0,100.0,100.0,92.31,52,4656504,11.8382,238.911,508.124,100.0,92.31,100.0,,24.37,89.75,saudavel,provisoria,0,0,aplicavel,0,0,0,,,,,4 efeito(s) inadequado(s),"[{""ativacoes_observadas"": 26, ""capability_id"": ""transactional_turn"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 26, ""oportunidades_elegiveis"": 26, ""responsabilidade"": ""Manter o par preparar/concluir e a atomicidade do turno.""}, {""ativacoes_observadas"": 7, ""capability_id"": ""session_lifecycle"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 7, ""oportunidades_elegiveis"": 7, ""responsabilidade"": ""Iniciar, checkpointar, recuperar e encerrar sessões sem saltos.""}, {""ativacoes_observadas"": 25, ""capability_id"": ""idempotent_commit"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 25, ""oportunidades_elegiveis"": 25, ""responsabilidade"": ""Tornar retries seguros e impedir escrita parcial silenciosa.""}]",10.73,sim,nao,8
rules_and_character_state,"Aplicar regras, rolagens, recursos, ficha e tempo de modo pré-comprometido, rastreável e consistente.",direta,Justiça das regras e consistência da ficha,1.0.0,3.0.0,ativou a contento,50,67,25,50,50,0,0,100.0,100.0,93.88,49,4614590,11.7316,241.967,545.653,100.0,93.88,99.4,,23.39,90.08,excelente,provisoria,1,0,aplicavel,0,0,0,,,,,3 efeito(s) inadequado(s),"[{""ativacoes_observadas"": 13, ""capability_id"": ""rules_resolution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 13, ""oportunidades_elegiveis"": 13, ""responsabilidade"": ""Definir dificuldade e modificadores antes da resolução.""}, {""ativacoes_observadas"": 13, ""capability_id"": ""roll_execution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 13, ""oportunidades_elegiveis"": 13, ""responsabilidade"": ""Executar e preservar o resultado real da rolagem.""}, {""ativacoes_observadas"": 24, ""capability_id"": ""character_time_state"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 24, ""oportunidades_elegiveis"": 24, ""responsabilidade"": ""Registrar recursos, ficha e instante canônico de forma consistente.""}]",10.46,sim,nao,9
npc_continuity_and_social_behavior,"Preservar identidade, presença, memória, relação, reputação e iniciativa social autônoma dos NPCs.",direta,Naturalidade e continuidade dos personagens,1.0.0,3.0.0,subativou,56,60,22,11,52,0,1,100.0,90.91,100.0,13,3997277,10.1622,238.911,545.653,95.45,100.0,99.46,,23.55,90.65,excelente,provisoria,1,1,aplicavel,0,0,0,,,,,1 oportunidade(s) elegível(is) sem ativação confirmada,"[{""ativacoes_observadas"": 8, ""capability_id"": ""social_initiative"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 12, ""oportunidades_elegiveis"": 5, ""responsabilidade"": ""Decidir abertura social elegível sem controlar Ren.""}, {""ativacoes_observadas"": 22, ""capability_id"": ""presence_and_identity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 22, ""oportunidades_elegiveis"": 5, ""responsabilidade"": ""Preservar elenco, aliases, suspeita e certeza de identidade.""}, {""ativacoes_observadas"": 22, ""capability_id"": ""relationship_memory_reputation"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 22, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Manter relações, fatos lembrados e reputações sem fundir personas.""}]",9.59,sim,nao,10
