modulo,responsabilidade,visibilidade_jogador,rotulo_jogador,indicadores_especializados,avaliacao_ativacao,chamadas_detectadas,turnos_detectados,oportunidades_elegiveis,precisao_consulta,cobertura_consulta,precisao_efeito,recall_efeito,input_tokens_expostos_nao_aditivos,tokens_totais_atribuidos_fracionados,tokens_uncached_atribuidos_fracionados_aprox,participacao_tokens_fracionados_pct,latencia_exposta_mediana_segundos,latencia_exposta_p90_segundos,taxa_proxy_par_cronica_exato,nota_calibracao_0a100,nota_eficacia_integridade_0a100,nota_confiabilidade_proxy_0a100,nota_economia_0a100,nota_fluidez_exposta_0a100,nota_jogador_0a100,nota_desempenho_provisoria_0a100,faixa_desempenho,prioridade_rank,prioridade_faixa,pontuacao_prioridade_0a10,principais_problemas_de_ativacao,justificativa_prioridade,confianca_inferencia_semantica,confianca_amostra_sessao,evidencias
emergent_sidequest_authoring,Transformar uma âncora causal validada em sidequest completa e persistente somente quando a oferta entra na ficção.,direta,Qualidade e profundidade das novas missões,"[""completude_do_contrato"", ""profundidade"", ""sucesso_na_primeira_tentativa"", ""custo_por_autoria""]",sobreativou,14,3,,,,,,11573497,1000592,19336,2.3637,687.962,725.512,0.0,50.0,15.0,0.0,15.0,12.63,,22.09,critico,1,critica,10.0,Houve repeticao de autoria e remontagem de contratos em apenas tres turnos; os turnos de oferta de Halessa e Tomas ficaram entre os maiores outliers; foi necessario ler documentacao e testes para reconstruir schemas; a missao de Halessa nasceu com profundidade insuficiente.,"Combina o pior dano narrativo observado, a compressao admitida da missao, com latencias de ate 688 e 726 segundos e muitas tentativas de contrato.",alta,provisoria,
transactional_sidequest_progress,"Obrigar cada missão ativa a receber decisão factual no mesmo concluir e instalar progresso, terminal e evidências de forma atômica e idempotente.",tecnica,Registro consistente do progresso das missões,"[""decisao_por_missao_ativa"", ""atomicidade"", ""validade_da_evidencia"", ""retries""]",ativou a contento,34,25,,,,,,24713143,3747459,205108,8.8527,141.451,271.214,0.44,90.0,15.0,44.0,15.0,43.33,,42.24,critico,2,critica,10.0,"A ativacao era esperada enquanto havia missoes aceitas, mas ocorreu em quase todo turno subsequente; houve falhas de schema Task49, evidencia longa, mapa de fases invalido e fato sem alteracao; o mecanismo persistiu corretamente fatos cuja qualidade autoral era ruim.","E simultaneamente um dos maiores consumidores atribuidos e o ponto que transformou a sidequest rasa em progresso canonico, exigindo intervencao do jogador.",alta,provisoria,
sidequest_progression,"Manter fases, prazos, condições de sucesso ou falha e consequências de sidequests a partir de fatos canônicos.",direta,Ritmo e profundidade do progresso das missões,"[""precisao_das_fases"", ""compressao_indevida"", ""terminal_prematuro""]",sobreativou,11,5,,,,,,14590602,1467112,26415,3.4658,294.94,725.512,0.0,50.0,15.0,0.0,35.0,18.44,,26.86,critico,3,critica,9.0,Duas fases de Rastros Sob a Placa foram consideradas resolvidas com uma cadeia investigativa curta; a entrega a Halessa parecia suficiente para terminal; o jogador precisou contestar duas vezes e o narrador reconheceu compressao excessiva.,"O custo agregado e menor que o dos projetores, mas o impacto direto sobre desafio, ritmo e satisfacao foi o defeito qualitativo mais claro do rollout.",alta,provisoria,
active_sidequest_reassessment,"Projetar em cada preparo o estado compacto de até duas sidequests aceitas para que fatos, prazos e terminais não sejam esquecidos.",tecnica,Continuidade das missões ativas,"[""cobertura_das_missoes_ativas"", ""projecao_obsoleta"", ""payload"", ""estouro_de_orcamento""]",ativou a contento,29,25,,,,,,24713143,3747480,205131,8.8527,141.451,271.214,0.44,90.0,35.0,44.0,15.0,43.33,,47.8,critico,4,critica,9.0,"A cobertura foi correta e permitiu a revisao precisa das duas missoes, mas a projecao repetida estourou o teto Task48 em varios preparos e carregou as missoes em turnos triviais de movimento e conversa.","Tem alto custo recorrente e foi causa direta de retries e latencia, embora tenha cumprido sua responsabilidade de nao deixar missoes desaparecerem.",alta,provisoria,
reactive_pressure_routing,Ordenar matérias narrativas autorizadas e fazer pressões adversariais comprometidas prevalecerem sobre iniciativas incidentais sem fabricar ameaça.,indireta,Relevância e naturalidade das pressões narrativas,"[""fonte_causal"", ""prioridade_correta"", ""custo_de_resultados_neutros""]",sobreativou,28,26,,,,,,29333233,4134774,212434,9.7676,146.742,271.214,0.423077,50.0,55.0,42.31,15.0,42.57,,41.92,critico,5,alta,8.0,"Foi detectado em 26 de 35 turnos, inclusive conversas e deslocamentos rotineiros, mas quase nenhuma pressao material apareceu na ficcao; a presenca de sidequests ativas parece mante-lo no hot path mesmo quando o resultado e neutro.",E o segundo maior custo fracionado depois do gate de oportunidade e oferece pouco retorno narrativo visivel neste rollout.,media,provisoria,
adversarial_integrity,"Congelar capacidade, risco, consequências e limites dos antagonistas sem onisciência, poder novo ou proteção artificial.",reservada,Integridade das forças adversárias,"[""capacidades_congeladas"", ""conhecimento_legitimo"", ""consistencia_de_recursos""]",ativou a contento,14,4,,,,,,12479559,1094192,18276,2.5848,470.615,725.512,0.0,90.0,35.0,0.0,35.0,14.64,,43.31,critico,6,alta,8.0,"Ativou nos turnos corretos de autoria e compromisso, mas o contrato de Tomas exigiu varias tentativas por classificacao de impacto e estado incompatíveis; o agente precisou consultar schemas e testes durante o jogo.","A protecao semantica funcionou e falhou fechado, mas a friccao operacional foi uma das principais causas do turno de 12 minutos.",alta,provisoria,
batch_world_boundary,Resolver em lote pendências do Mundo Vivo antes de permitir narração ou escrita do turno.,tecnica,Resolução das mudanças do mundo entre cenas,"[""pendencias_cobertas"", ""eventos_materializados"", ""bloqueios"", ""tempo_de_resolucao""]",ativou a contento,20,7,,,,,,18626840,2351313,44724,5.5545,326.066,451.011,0.0,90.0,35.0,0.0,35.0,22.5,,43.75,critico,7,alta,8.0,"A fronteira de sono materializou corretamente a iniciativa de Jack, mas exigiu checkpoint, buscas de schema, no-op de agente leve, writer legado e repetidos preparos; um unico turno chegou a 40 tools.","Protegeu continuidade e causalidade, mas teve custo e latencia muito altos justamente no caso comum de dormir.",alta,provisoria,
npc_social_initiative,"Decidir se um NPC já presente ou contactável pode iniciar uma troca sem criar presença, encontro, segredo ou sidequest.",direta,Naturalidade da iniciativa social dos NPCs,"[""elegibilidade_por_presenca_ou_contato"", ""abertura_por_janela"", ""repeticao"", ""rendimento_visivel""]",sobreativou,30,20,,,,,,32395310,4779554,111027,11.2908,228.498,451.011,0.2,50.0,55.0,20.0,15.0,26.43,,37.3,critico,8,alta,8.0,"Foi consultado em 20 turnos de dialogo, quase sempre iniciados por Ren, com apenas a abertura de Jack como iniciativa autonoma claramente materializada; houve ainda uma parada artificial enquanto Ren aguardava Halessa.","Tem a segunda maior parcela de tokens atribuida e baixo rendimento visivel, embora a iniciativa de Jack demonstre valor funcional real.",media,provisoria,
persistent_world_conditions,Projetar condições mundiais de vários dias na cena e registrar início ou fim canônico sem transformar a condição automaticamente em teste ou penalidade.,indireta,Consistência das condições persistentes do mundo,"[""projecao_de_condicoes_ativas"", ""falsos_positivos"", ""consistencia_do_efeito""]",sobreativou,28,18,,,,,,31122003,3936365,197048,9.2989,203.237,451.011,0.333333,50.0,75.0,33.33,15.0,28.06,,45.17,critico,9,alta,7.0,Apareceu em 18 turnos sem que uma condicao persistente tivesse papel perceptivel na narracao; parece acoplado a preparos espaciais e de sidequest mesmo quando o resultado e neutro.,Custo atribuido muito alto e quase nenhum ganho de experiencia observavel nesta sessao.,media,provisoria,
emergent_sidequest_opportunity,Exigir decisão explícita sobre a existência de nova âncora causal e consultar autoria somente no caminho positivo.,tecnica,Oportunidades de missões surgiram na medida certa,"[""cobertura_dos_preparos"", ""precisao_das_ancoras"", ""duplicacao_por_janela""]",ativou a contento,61,35,,,,,,42067441,6715858,289250,15.8649,188.656,353.921,0.428571,90.0,75.0,42.86,15.0,32.85,,58.13,ruim,10,alta,7.0,"A cobertura real foi 73 de 73 preparos com exatamente uma decisao; repeticoes vieram de retries e multiplas subcenas; o analisador gerou falso alarme ao contar um rg que apenas mencionava cronica preparar; por ser gate universal, a atribuicao fracionada superestima seu custo marginal.","E o maior custo fracionado por estar em todos os turnos, mas cumpriu o contrato e evitou esquecimento; sua prioridade e menor que a dos modulos que causaram dano narrativo direto.",alta,provisoria,
