modulo,responsabilidade,visibilidade_jogador,rotulo_jogador,versao_implementacao,versao_avaliacao,avaliacao_ativacao,eventos_detectados,chamadas_detectadas,turnos_detectados,oportunidades_elegiveis,ativacoes_observadas,verdadeiros_positivos,verdadeiros_negativos,falsos_positivos,falsos_negativos,precisao_consulta,cobertura_consulta,precisao_oportunidade,cobertura_oportunidade,especificidade_oportunidade,acuracia_balanceada_oportunidade,avaliacoes_oportunidade_recebidas,avaliacoes_oportunidade_pontuaveis,avaliacoes_oportunidade_indeterminadas,avaliacoes_integracao_recebidas,avaliacoes_integracao_pontuaveis,avaliacoes_integracao_nao_pontuaveis,recibos_integracao_duplicados,avaliacoes_integracao_indeterminadas,unidades_sidequest_observadas,recibos_integracao_ausentes,recibos_integracao_incompletos,cobertura_integracao_completa,unidades_avaliativas_obrigatorias,recibos_cobertura_completos,recibos_cobertura_ausentes,recibos_cobertura_incompletos,recibos_cobertura_duplicados,unidades_avaliativas_aplicaveis,unidades_avaliativas_nao_aplicaveis,unidades_avaliativas_indeterminadas,cobertura_avaliativa_completa,acuracia_balanceada_integracao_canonica,precisao_efeito,efeitos_avaliaveis,nota_conformidade_operacional_0a100,efeitos_conformidade_operacional_avaliaveis,avaliacoes_qualidade_recebidas,avaliacoes_qualidade_confirmadas,avaliacoes_qualidade_pendentes,avaliacoes_qualidade_pontuaveis,avaliacoes_qualidade_nao_pontuaveis,avaliacoes_qualidade_confirmadas_indeterminadas,criterios_qualidade_pontuaveis,matriz_oportunidade_qualitativa,denominador_oportunidade_qualitativa,oportunidades_qualitativas_perdidas,nota_oportunidade_interacao_0a100,denominador_qualidade_interacao,qualidade_interacao_inadequada,nota_qualidade_interacao_0a100,nota_experiencia_interacao_0a100,qualidade_interacao_status,tokens_totais_atribuidos_fracionados,participacao_tokens_fracionados_pct,latencia_exposta_mediana_segundos,latencia_exposta_p90_segundos,nota_calibracao_0a100,nota_eficacia_integridade_0a100,nota_confiabilidade_proxy_0a100,nota_economia_0a100,nota_fluidez_exposta_0a100,nota_desempenho_provisoria_0a100,faixa_desempenho,confianca_amostra_sessao,manifestacoes_jogador,manifestacoes_confirmadas,aplicabilidade_avaliacao,auditorias_semanticas,dimensoes_semanticas_avaliadas,dimensoes_semanticas_inadequadas,gate_oportunidade_preparos,gate_oportunidade_decisoes_validas,gate_oportunidade_violacoes,gate_oportunidade_conformidade_pct,principais_problemas_de_ativacao,subcapacidades,filas_prioridade_schema,fila_reparo_medidor_rank,pontuacao_reparo_medidor_0a100,reparo_medidor_unidades_afetadas,reparo_medidor_unidades_obrigatorias,fila_experiencia_rank,pontuacao_prioridade_experiencia_0a100,fila_experiencia_denominador_adjudicado,fila_investigacao_custo_rank,custo_atribuicao_contabil,prioridade_rank,pontuacao_prioridade_0a100,custo_exposto_participa_prioridade,prioridade_provisoria,prioridade_legada_descontinuada,justificativa_prioridade
context_and_memory,"Fornecer somente o contexto necessário e preservar memória factual, autoria e separação das camadas de conhecimento.",indireta,Continuidade e lembrança do que importa,1.0.2,4.0.0,falha de instrumentação,10,18,9,10,10,10,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,20,20,0,0,0,10,10,0,nao,,44.44,9,44.44,9,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,864536,15.9898,146.789,265.214,100.0,44.44,,,43.06,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"0 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 20 atividade(s) esperada(s); 5 efeito(s) inadequado(s)","[{""ativacoes_observadas"": 9, ""capability_id"": ""routed_context_access"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 9, ""responsabilidade"": ""Selecionar o menor degrau de acesso suficiente.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""scene_and_durable_memory"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar e registrar memória com participantes e evidência corretos.""}, {""ativacoes_observadas"": 1, ""capability_id"": ""knowledge_layer_separation"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 1, ""responsabilidade"": ""Impedir fusão entre conhecimento do narrador, mundo, NPC, Ren e jogador.""}]",1,1,5.0,1,20,,,0,1,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 15.9898, ""tokens_atribuidos"": 864536, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
turn_and_session_orchestration,"Executar o ciclo transacional de turno e sessão exatamente uma vez, com recuperação explícita e commits idempotentes.",tecnica,Confiabilidade dos turnos e sessões,1.0.2,4.0.0,falha de instrumentação,19,27,9,19,19,19,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,21,21,0,0,0,21,0,0,nao,,94.44,18,94.44,18,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,864529,15.9897,146.789,265.214,100.0,94.44,,,43.06,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"0 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 21 atividade(s) esperada(s); 1 efeito(s) inadequado(s)","[{""ativacoes_observadas"": 9, ""capability_id"": ""transactional_turn"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 9, ""responsabilidade"": ""Manter o par preparar/concluir e a atomicidade do turno.""}, {""ativacoes_observadas"": 1, ""capability_id"": ""session_lifecycle"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 1, ""responsabilidade"": ""Iniciar, checkpointar, recuperar e encerrar sessões sem saltos.""}, {""ativacoes_observadas"": 9, ""capability_id"": ""idempotent_commit"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 9, ""responsabilidade"": ""Tornar retries seguros e impedir escrita parcial silenciosa.""}]",1,3,4.76,1,21,,,0,5,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 15.9897, ""tokens_atribuidos"": 864529, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
narrative_delivery,"Entregar prosa clara, consequente e ritmada, respeitando a agência de Ren e expondo mecânica somente quando aplicável.",direta,"Qualidade, clareza e ritmo da narração",1.0.2,4.0.0,ativou a contento,24,0,9,24,24,24,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,10,10,0,0,0,10,0,0,sim,,100.0,15,100.0,15,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,864535,15.9898,146.789,265.214,100.0,100.0,100.0,,43.06,94.31,excelente,provisoria,0,0,aplicavel,0,0,0,,,,,,"[{""ativacoes_observadas"": 9, ""capability_id"": ""narrative_density"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 9, ""responsabilidade"": ""Calibrar detalhe e extensão ao valor dramático do turno.""}, {""ativacoes_observadas"": 6, ""capability_id"": ""diegetic_mechanics"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 6, ""oportunidades_elegiveis"": 6, ""responsabilidade"": ""Integrar resultados e chamadas mecânicas sem opacidade ou metajogo.""}, {""ativacoes_observadas"": 9, ""capability_id"": ""visible_closure"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 9, ""responsabilidade"": ""Entregar consequência compreensível e rodapé canônico correto.""}]",1,,,0,10,,,0,2,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 15.9898, ""tokens_atribuidos"": 864535, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
rules_and_character_state,"Aplicar regras, rolagens, recursos, ficha e tempo de modo pré-comprometido, rastreável e consistente.",direta,Justiça das regras e consistência da ficha,1.0.1,4.0.0,ativou a contento,21,16,9,21,21,21,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,10,10,0,0,0,10,0,0,sim,,71.43,21,71.43,21,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,864533,15.9897,146.789,265.214,100.0,71.43,100.0,,43.06,84.31,saudavel,provisoria,0,0,aplicavel,0,0,0,,,,,6 efeito(s) inadequado(s),"[{""ativacoes_observadas"": 6, ""capability_id"": ""rules_resolution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 6, ""oportunidades_elegiveis"": 6, ""responsabilidade"": ""Definir dificuldade e modificadores antes da resolução.""}, {""ativacoes_observadas"": 6, ""capability_id"": ""roll_execution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 6, ""oportunidades_elegiveis"": 6, ""responsabilidade"": ""Executar e preservar o resultado real da rolagem.""}, {""ativacoes_observadas"": 9, ""capability_id"": ""character_time_state"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 9, ""responsabilidade"": ""Registrar recursos, ficha e instante canônico de forma consistente.""}]",1,,,0,10,,,0,3,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 15.9897, ""tokens_atribuidos"": 864533, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
sidequest_authoring,Detectar uma oportunidade causal válida e materializar uma sidequest completa somente quando sua oferta entra na ficção.,direta,Qualidade e medida das novas missões,2.0.1,4.0.0,indeterminado,9,14,9,0,0,0,0,0,0,,,,,,,9,0,9,,,,,,,,,,10,10,0,0,0,0,0,10,sim,,,0,,0,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,864531,15.9897,146.789,265.214,,,,,43.06,,N/D,N/D,0,0,indeterminado,0,0,0,14,14,0,100.0,9 decisão(ões) sem prova objetiva suficiente; 5 preparo(s) sem recibo avaliativo 4.0.0; 10 atividade(s) com aplicabilidade indeterminada; nenhuma nota foi fabricada; sinais observados sem elegibilidade ou efeito adjudicável; desempenho permanece N/D,"[{""ativacoes_observadas"": 0, ""capability_id"": ""opportunity_gate"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 9, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Avaliar elegibilidade por evidência estruturada e comparar o resultado com a decisão explícita, sem tratar a declaração como verdade.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""quest_authoring"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir contrato completo, persistente e coerente com a âncora.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""fictional_materialization"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Persistir somente a oferta efetivamente narrada.""}]",1,,,0,10,,,0,4,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 15.9897, ""tokens_atribuidos"": 864531, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
sidequest_lifecycle,"Projetar, progredir e encerrar sidequests aceitas, incluindo recompensa e reação causal, de forma atômica e exactly-once.",direta,Continuidade e consequência das missões ativas,1.0.1,4.0.0,não aplicável,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,10,10,0,0,0,0,10,0,sim,,,0,,0,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,0,0.0,,,,,,,,,N/D,N/D,0,0,nao_aplicavel,0,0,0,,,,,10 atividade(s) avaliada(s) e explicitamente não aplicável(is) nesta sessão,"[{""ativacoes_observadas"": 0, ""capability_id"": ""active_reassessment"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar de forma compacta o estado relevante das missões aceitas.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""transactional_progress"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Decidir e instalar fatos de progresso atomicamente.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""phase_and_terminal_progression"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Manter fases, prazos e condições terminais.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""terminal_rewards"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Aplicar recompensas, descobertas ou perdas exatamente uma vez.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""success_reactions"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir consequência causal pós-progresso sem reabrir a missão.""}]",1,,,0,10,,,0,,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 0.0, ""tokens_atribuidos"": 0, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
canonical_quest_integration,"Integrar sidequests e causas canônicas sem promover hipótese a fato, editar o cânone-base ou revelar informação reservada.",reservada,Integração das missões com a trama principal,2.0.0,4.0.0,N/D,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,sim,,,,,,,,,,,,0,,0,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,0,0.0,,,,,,,,,N/D,N/D,0,0,sem_evidencia,0,0,0,,,,,nenhuma evidência observável nesta sessão; desempenho permanece N/D,"[{""ativacoes_observadas"": 0, ""capability_id"": ""sidequest_to_canon_bridge"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir ponte causal a partir de fato aceito da sidequest.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""canon_to_quest_opportunity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar oportunidade a partir de causa canônica reservada.""}]",1,,,0,0,,,0,,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 0.0, ""tokens_atribuidos"": 0, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
npc_continuity_and_social_behavior,"Preservar identidade, presença, memória, relação, reputação e iniciativa social autônoma dos NPCs.",direta,Naturalidade e continuidade dos personagens,1.1.0,4.0.0,falha de instrumentação,16,8,7,0,14,0,0,0,0,,,,,,,,,,,,,,,,,,,20,20,0,0,0,7,13,0,nao,,,0,,0,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,658195,12.1735,146.789,185.06,,,,,52.86,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"0 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 20 atividade(s) esperada(s)","[{""ativacoes_observadas"": 0, ""capability_id"": ""social_initiative"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 2, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Decidir abertura social elegível sem controlar Ren.""}, {""ativacoes_observadas"": 7, ""capability_id"": ""presence_and_identity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 7, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Preservar elenco, aliases, suspeita e certeza de identidade.""}, {""ativacoes_observadas"": 7, ""capability_id"": ""relationship_memory_reputation"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 7, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Manter relações, fatos lembrados e reputações sem fundir personas.""}]",1,2,5.0,1,20,,,0,6,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 12.1735, ""tokens_atribuidos"": 658195, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
scene_world_projection,"Projetar local, incidentes, microeventos e condições persistentes coerentes sem reroll ou efeito automático indevido.",direta,Vivacidade e consistência dos lugares,1.0.1,4.0.0,não aplicável,4,4,3,4,4,4,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,10,10,0,0,0,0,10,0,sim,,,0,,0,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,425940,7.8779,265.214,288.402,100.0,,,,32.12,,N/D,N/D,0,0,nao_aplicavel,0,0,0,,,,,10 atividade(s) avaliada(s) e explicitamente não aplicável(is) nesta sessão; sinais observados sem elegibilidade ou efeito adjudicável; desempenho permanece N/D,"[{""ativacoes_observadas"": 3, ""capability_id"": ""local_incidents"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 3, ""oportunidades_elegiveis"": 3, ""responsabilidade"": ""Reservar e confirmar incidentes ou microeventos uma vez por gatilho elegível.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""persistent_conditions"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar início, vigência e fim de condições persistentes.""}, {""ativacoes_observadas"": 1, ""capability_id"": ""spatial_continuity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 1, ""responsabilidade"": ""Preservar local e janela entre retries e permanências.""}]",1,,,0,10,,,0,7,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 7.8779, ""tokens_atribuidos"": 425940, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
world_boundary_resolution,Resolver causas vencidas e pendências do mundo antes de cruzar fronteiras narrativas ou temporais.,indireta,Continuidade do mundo nas passagens de tempo,1.0.1,4.0.0,N/D,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,nao,,,0,,0,0,0,0,0,0,0,[],"{""falso_negativo"": 0, ""falso_positivo"": 0, ""verdadeiro_negativo"": 0, ""verdadeiro_positivo"": 0}",0,0,,0,0,,,nao_avaliada,0,0.0,,,,,,,,,N/D,N/D,0,0,sem_atividade,0,0,0,,,,,nenhuma evidência observável nesta sessão; desempenho permanece N/D,"[{""ativacoes_observadas"": 0, ""capability_id"": ""temporal_liveness"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Avaliar causas durante compressões e emitir calma ou interrupção justificadas.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""pending_batch_resolution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Resolver pendências em lote antes de liberar a escrita.""}]",1,,,0,0,,,0,,"{""causalidade_inferida"": false, ""metodo"": ""divisao_inteira_igual_entre_modulos_pais_observados_no_turno_com_classe_controle_separada"", ""participacao_sessao_pct"": 0.0, ""tokens_atribuidos"": 0, ""uso_permitido"": ""reconciliacao_contabil_e_triagem_para_investigacao""}",,,nao,,sim,"Não existe ranking global: reparo do medidor, problema da experiência e custo contábil usam filas independentes."
