id,nome,tipo_nome,genero,raca,cultura_subraca,regiao_primaria,regioes_compativeis,status,fonte_base,fonte_url,observacao
FRN00001,Aseir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00002,Khemed,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00003,Mehmen,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00004,Zasheir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00005,Atala,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00006,Jasmal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00007,Seipora,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00008,Yasheira,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00009,Basha,sobrenome,neutro,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00010,Jassan,sobrenome,neutro,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00011,Mostana,sobrenome,neutro,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00012,Pashar,sobrenome,neutro,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),canonico_fr_oficial,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,
FRN00013,Rasheid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00014,Zasheid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00015,Rasheir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00016,Kheiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00017,Zashmed,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00018,Zashmen,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00019,Rashmen,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00020,Rashmed,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00021,Aseiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00022,Naseir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00023,Kareir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00024,Taheid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00025,Bareir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00026,Fareir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00027,Sameiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00028,Haseiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00029,Fareid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00030,Sameir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00031,Taheir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00032,Taheiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00033,Haseid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00034,Sudeiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00035,Qadeiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00036,Meheid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00037,Sudeir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00038,Fareiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00039,Jaleir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00040,Naseiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00041,Bareiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00042,Naseid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00043,Qadeid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00044,Jaleiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00045,Haseir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00046,Kareid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00047,Jaleid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00048,Kareiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
