modulo,avaliacao_ativacao,impacto_experiencia_1a5,impacto_custo_1a5,prioridade_rank,prioridade_faixa,pontuacao_prioridade_0a10,principais_problemas_de_ativacao,justificativa_prioridade,confianca_da_inferencia,evidencias
emergent_sidequest_opportunity,ativou a contento,2,5,10,alta,7,"A cobertura real foi 73 de 73 preparos com exatamente uma decisao; repeticoes vieram de retries e multiplas subcenas; o analisador gerou falso alarme ao contar um rg que apenas mencionava cronica preparar; por ser gate universal, a atribuicao fracionada superestima seu custo marginal.","E o maior custo fracionado por estar em todos os turnos, mas cumpriu o contrato e evitou esquecimento; sua prioridade e menor que a dos modulos que causaram dano narrativo direto.",alta,
emergent_sidequest_authoring,sobreativou,5,5,1,critica,10,Houve repeticao de autoria e remontagem de contratos em apenas tres turnos; os turnos de oferta de Halessa e Tomas ficaram entre os maiores outliers; foi necessario ler documentacao e testes para reconstruir schemas; a missao de Halessa nasceu com profundidade insuficiente.,"Combina o pior dano narrativo observado, a compressao admitida da missao, com latencias de ate 688 e 726 segundos e muitas tentativas de contrato.",alta,
active_sidequest_reassessment,ativou a contento,4,5,4,critica,9,"A cobertura foi correta e permitiu a revisao precisa das duas missoes, mas a projecao repetida estourou o teto Task48 em varios preparos e carregou as missoes em turnos triviais de movimento e conversa.","Tem alto custo recorrente e foi causa direta de retries e latencia, embora tenha cumprido sua responsabilidade de nao deixar missoes desaparecerem.",alta,
transactional_sidequest_progress,ativou a contento,5,5,2,critica,10,"A ativacao era esperada enquanto havia missoes aceitas, mas ocorreu em quase todo turno subsequente; houve falhas de schema Task49, evidencia longa, mapa de fases invalido e fato sem alteracao; o mecanismo persistiu corretamente fatos cuja qualidade autoral era ruim.","E simultaneamente um dos maiores consumidores atribuidos e o ponto que transformou a sidequest rasa em progresso canonico, exigindo intervencao do jogador.",alta,
sidequest_progression,sobreativou,5,4,3,critica,9,Duas fases de Rastros Sob a Placa foram consideradas resolvidas com uma cadeia investigativa curta; a entrega a Halessa parecia suficiente para terminal; o jogador precisou contestar duas vezes e o narrador reconheceu compressao excessiva.,"O custo agregado e menor que o dos projetores, mas o impacto direto sobre desafio, ritmo e satisfacao foi o defeito qualitativo mais claro do rollout.",alta,
quest_rewards,sobreativou,2,3,12,media,5,"Foi observado em cinco turnos apesar de nenhuma sidequest nova chegar ao terminal; parte da ativacao corresponde ao congelamento da recompensa na autoria, mas houve projecao adicional durante aceite e progresso sem efeito visivel.",Custo moderado com pouco impacto direto nesta sessao; os contratos permaneceram consistentes e nenhuma recompensa prematura apareceu.,media,
sidequest_success_reactions,sobreativou,2,2,14,media,4,"Foi detectado em dois turnos embora nenhuma das duas novas missoes tenha sido concluida; uma ativacao parece ligada a estado historico anterior e outra a autoria de Tomas, sem reacao materializada na ficcao.","Baixo custo absoluto, mas sinaliza verificacao prematura ou atribuicao observacional ruidosa.",baixa,
canon_bridge,sobreativou,2,3,11,media,5,"Foi detectado em sete turnos, inclusive investigacao rotineira sem avanco canonico visivel; a ligacao das duas sidequests ao arco de Masao manteve o modulo acoplado a preparos e progressos.","Custo moderado e risco de promover hipotese do jogador a estrutura reservada, mas nao houve vazamento ou trilho explicito na prosa.",media,
canonical_secret_quests,ativou a contento,1,2,17,baixa,3,Apareceu apenas nos turnos de auditoria de futuro e autoria causal; nao criou oferta por mera presenca nem vazou catalogo reservado; o marcador nao prova que uma quest foi materializada.,"Pouco impacto adverso observado e baixa frequencia, apesar de ocorrer em turnos caros por coativacao.",media,
seven_names_migration_regression,sobreativou,1,1,20,baixa,2,"O marcador surgiu no turno de autoria da missao de Halessa, sem necessidade narrativa aparente; por ser uma regressao historica, pode ser apenas falso positivo da telemetria ao ler metadados integrados.",Frequencia e custo baixos; a baixa confianca impede tratar o marcador como falha funcional forte.,baixa,
npc_social_initiative,sobreativou,3,5,8,alta,8,"Foi consultado em 20 turnos de dialogo, quase sempre iniciados por Ren, com apenas a abertura de Jack como iniciativa autonoma claramente materializada; houve ainda uma parada artificial enquanto Ren aguardava Halessa.","Tem a segunda maior parcela de tokens atribuida e baixo rendimento visivel, embora a iniciativa de Jack demonstre valor funcional real.",media,
world_local_incidents,ativou a contento,1,3,15,media,4,"Ativou em sono, transitos e entradas pertinentes; produziu rotina e pequenos atrasos sem fabricar encontro; parte do custo veio de retries de local desconhecido.","Teve retorno diegetico proporcional e nao desviou a investigacao, apesar de algum custo de resolucao de local.",alta,
persistent_world_conditions,sobreativou,2,5,9,alta,7,Apareceu em 18 turnos sem que uma condicao persistente tivesse papel perceptivel na narracao; parece acoplado a preparos espaciais e de sidequest mesmo quando o resultado e neutro.,Custo atribuido muito alto e quase nenhum ganho de experiencia observavel nesta sessao.,media,
liveness_boundary,ativou a contento,2,3,13,media,5,"As oito avaliacoes tiveram cobertura completa, zero modulo ausente e sete calmarias justificadas; houve repeticao por retries e alto custo indireto no turno de sono.","Entregou o comportamento desejado de mundo vivo e calma justificavel, com custo localizado mas sem defeito narrativo proprio.",alta,
reactive_pressure_routing,sobreativou,3,5,5,alta,8,"Foi detectado em 26 de 35 turnos, inclusive conversas e deslocamentos rotineiros, mas quase nenhuma pressao material apareceu na ficcao; a presenca de sidequests ativas parece mante-lo no hot path mesmo quando o resultado e neutro.",E o segundo maior custo fracionado depois do gate de oportunidade e oferece pouco retorno narrativo visivel neste rollout.,media,
batch_world_boundary,ativou a contento,4,4,7,alta,8,"A fronteira de sono materializou corretamente a iniciativa de Jack, mas exigiu checkpoint, buscas de schema, no-op de agente leve, writer legado e repetidos preparos; um unico turno chegou a 40 tools.","Protegeu continuidade e causalidade, mas teve custo e latencia muito altos justamente no caso comum de dormir.",alta,
secret_canon,ativou a contento,1,3,16,baixa,4,Foi consultado em fronteiras temporais e na retomada do arco principal; nenhuma obrigacao futura foi exposta como fato conhecido por Ren e nenhum evento canonico virou no-op.,"Custo moderado de exposicao, mas comportamento conservador e correto no rollout.",media,
adversarial_integrity,ativou a contento,4,4,6,alta,8,"Ativou nos turnos corretos de autoria e compromisso, mas o contrato de Tomas exigiu varias tentativas por classificacao de impacto e estado incompatíveis; o agente precisou consultar schemas e testes durante o jogo.","A protecao semantica funcionou e falhou fechado, mas a friccao operacional foi uma das principais causas do turno de 12 minutos.",alta,
concurrent_adversarial_operations,ativou a contento,1,1,19,baixa,2,"Apareceu uma vez na fronteira de mundo; nao forjou escolha, nao duplicou recursos e nao vazou informacao; nenhum problema especifico do modulo ficou demonstrado.",Baixo custo atribuido e ausencia de impacto negativo observavel.,media,
underground_tournament,sobreativou,1,2,18,baixa,3,"Foi detectado em dois turnos sem torneio, noite de torneio ou consequencia perceptivel; a ativacao provavelmente veio de marcadores agregados de fronteira e de persistencia, nao de uso narrativo real.","E ruido ou verificacao desnecessaria, mas de baixa frequencia e sem dano ficcional visivel.",baixa,
