modulo,responsabilidade,visibilidade_jogador,rotulo_jogador,versao_implementacao,versao_avaliacao,avaliacao_ativacao,eventos_detectados,chamadas_detectadas,turnos_detectados,oportunidades_elegiveis,ativacoes_observadas,verdadeiros_positivos,verdadeiros_negativos,falsos_positivos,falsos_negativos,precisao_consulta,cobertura_consulta,precisao_oportunidade,cobertura_oportunidade,especificidade_oportunidade,acuracia_balanceada_oportunidade,avaliacoes_oportunidade_recebidas,avaliacoes_oportunidade_pontuaveis,avaliacoes_oportunidade_indeterminadas,avaliacoes_integracao_recebidas,avaliacoes_integracao_pontuaveis,avaliacoes_integracao_nao_pontuaveis,recibos_integracao_duplicados,avaliacoes_integracao_indeterminadas,unidades_sidequest_observadas,recibos_integracao_ausentes,recibos_integracao_incompletos,cobertura_integracao_completa,unidades_avaliativas_obrigatorias,recibos_cobertura_completos,recibos_cobertura_ausentes,recibos_cobertura_incompletos,recibos_cobertura_duplicados,unidades_avaliativas_aplicaveis,unidades_avaliativas_nao_aplicaveis,unidades_avaliativas_indeterminadas,cobertura_avaliativa_completa,acuracia_balanceada_integracao_canonica,precisao_efeito,efeitos_avaliaveis,tokens_totais_atribuidos_fracionados,participacao_tokens_fracionados_pct,latencia_exposta_mediana_segundos,latencia_exposta_p90_segundos,nota_calibracao_0a100,nota_eficacia_integridade_0a100,nota_confiabilidade_proxy_0a100,nota_economia_0a100,nota_fluidez_exposta_0a100,nota_desempenho_provisoria_0a100,faixa_desempenho,confianca_amostra_sessao,manifestacoes_jogador,manifestacoes_confirmadas,aplicabilidade_avaliacao,auditorias_semanticas,dimensoes_semanticas_avaliadas,dimensoes_semanticas_inadequadas,gate_oportunidade_preparos,gate_oportunidade_decisoes_validas,gate_oportunidade_violacoes,gate_oportunidade_conformidade_pct,principais_problemas_de_ativacao,subcapacidades,pontuacao_prioridade_0a100,custo_exposto_participa_prioridade,prioridade_provisoria,prioridade_rank
context_and_memory,"Fornecer somente o contexto necessário e preservar memória factual, autoria e separação das camadas de conhecimento.",indireta,Continuidade e lembrança do que importa,1.0.2,4.0.0,falha de instrumentação,43,100,18,43,43,43,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,62,51,10,1,0,39,12,0,nao,,75.0,40,4271052,14.6964,178.205,524.096,100.0,75.0,,,28.28,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"10 recibo(s) de cobertura ausente(s), 1 incompleto(s) e 0 duplicado(s) em 62 atividade(s) esperada(s); 10 efeito(s) inadequado(s)","[{""ativacoes_observadas"": 18, ""capability_id"": ""routed_context_access"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 18, ""oportunidades_elegiveis"": 18, ""responsabilidade"": ""Selecionar o menor degrau de acesso suficiente.""}, {""ativacoes_observadas"": 12, ""capability_id"": ""scene_and_durable_memory"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 12, ""oportunidades_elegiveis"": 12, ""responsabilidade"": ""Projetar e registrar memória com participantes e evidência corretos.""}, {""ativacoes_observadas"": 13, ""capability_id"": ""knowledge_layer_separation"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 13, ""oportunidades_elegiveis"": 13, ""responsabilidade"": ""Impedir fusão entre conhecimento do narrador, mundo, NPC, Ren e jogador.""}]",74.41,sim,sim,1
sidequest_authoring,Detectar uma oportunidade causal válida e materializar uma sidequest completa somente quando sua oferta entra na ficção.,direta,Qualidade e medida das novas missões,2.0.1,4.0.0,falha de instrumentação,18,53,18,0,0,0,0,0,0,,,,,,,17,0,17,,,,,,,,,,30,28,2,0,0,0,0,28,nao,,,0,4271044,14.6964,178.205,524.096,,,,,28.28,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,53,53,0,100.0,"17 decisão(ões) sem prova objetiva suficiente; 36 preparo(s) sem recibo avaliativo 4.0.0; 2 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 30 atividade(s) esperada(s)","[{""ativacoes_observadas"": 0, ""capability_id"": ""opportunity_gate"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 18, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Avaliar elegibilidade por evidência estruturada e comparar o resultado com a decisão explícita, sem tratar a declaração como verdade.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""quest_authoring"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir contrato completo, persistente e coerente com a âncora.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""fictional_materialization"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Persistir somente a oferta efetivamente narrada.""}]",74.41,sim,sim,2
turn_and_session_orchestration,"Executar o ciclo transacional de turno e sessão exatamente uma vez, com recuperação explícita e commits idempotentes.",tecnica,Confiabilidade dos turnos e sessões,1.0.2,4.0.0,falha de instrumentação,38,89,18,38,38,38,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,70,66,4,0,0,66,0,0,nao,,97.3,37,4271042,14.6964,178.205,524.096,100.0,97.3,,,28.28,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"4 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 70 atividade(s) esperada(s); 1 efeito(s) inadequado(s)","[{""ativacoes_observadas"": 18, ""capability_id"": ""transactional_turn"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 18, ""oportunidades_elegiveis"": 18, ""responsabilidade"": ""Manter o par preparar/concluir e a atomicidade do turno.""}, {""ativacoes_observadas"": 2, ""capability_id"": ""session_lifecycle"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 2, ""oportunidades_elegiveis"": 2, ""responsabilidade"": ""Iniciar, checkpointar, recuperar e encerrar sessões sem saltos.""}, {""ativacoes_observadas"": 18, ""capability_id"": ""idempotent_commit"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 18, ""oportunidades_elegiveis"": 18, ""responsabilidade"": ""Tornar retries seguros e impedir escrita parcial silenciosa.""}]",74.41,sim,sim,3
npc_continuity_and_social_behavior,"Preservar identidade, presença, memória, relação, reputação e iniciativa social autônoma dos NPCs.",direta,Naturalidade e continuidade dos personagens,1.1.0,4.0.0,falha de instrumentação,27,56,13,0,27,0,0,0,0,,,,,,,,,,,,,,,,,,,53,51,2,0,0,24,27,0,nao,,100.0,11,2857335,9.8319,178.938,524.096,,100.0,,,28.21,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"2 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 53 atividade(s) esperada(s)","[{""ativacoes_observadas"": 2, ""capability_id"": ""social_initiative"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 2, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Decidir abertura social elegível sem controlar Ren.""}, {""ativacoes_observadas"": 13, ""capability_id"": ""presence_and_identity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 13, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Preservar elenco, aliases, suspeita e certeza de identidade.""}, {""ativacoes_observadas"": 12, ""capability_id"": ""relationship_memory_reputation"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 12, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Manter relações, fatos lembrados e reputações sem fundir personas.""}]",72.95,sim,sim,4
scene_world_projection,"Projetar local, incidentes, microeventos e condições persistentes coerentes sem reroll ou efeito automático indevido.",direta,Vivacidade e consistência dos lugares,1.0.1,4.0.0,falha de instrumentação,14,20,5,10,14,10,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,30,28,2,0,0,0,28,0,nao,,,0,2093332,7.203,268.832,681.226,100.0,,,,19.97,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"2 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 30 atividade(s) esperada(s)","[{""ativacoes_observadas"": 5, ""capability_id"": ""local_incidents"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 5, ""oportunidades_elegiveis"": 5, ""responsabilidade"": ""Reservar e confirmar incidentes ou microeventos uma vez por gatilho elegível.""}, {""ativacoes_observadas"": 4, ""capability_id"": ""persistent_conditions"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 4, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar início, vigência e fim de condições persistentes.""}, {""ativacoes_observadas"": 5, ""capability_id"": ""spatial_continuity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 5, ""oportunidades_elegiveis"": 5, ""responsabilidade"": ""Preservar local e janela entre retries e permanências.""}]",72.16,sim,sim,5
world_boundary_resolution,Resolver causas vencidas e pendências do mundo antes de cruzar fronteiras narrativas ou temporais.,indireta,Continuidade do mundo nas passagens de tempo,1.0.1,4.0.0,falha de instrumentação,9,17,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,23,18,5,0,0,18,0,0,nao,,,0,2001249,6.8862,178.205,268.832,,,,,39.15,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"5 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 23 atividade(s) esperada(s)","[{""ativacoes_observadas"": 0, ""capability_id"": ""temporal_liveness"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 2, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Avaliar causas durante compressões e emitir calma ou interrupção justificadas.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""pending_batch_resolution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 7, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Resolver pendências em lote antes de liberar a escrita.""}]",72.07,sim,sim,6
causal_narrative_routing,"Selecionar entre matérias narrativas autorizadas pela causalidade, cronologia e prioridade, sem fabricar pressão.",reservada,Relevância e naturalidade das pressões narrativas,1.0.1,4.0.0,falha de instrumentação,1,3,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,30,28,2,0,0,0,28,0,nao,,,0,754770,2.5971,555.421,555.421,,,,,16.2,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"2 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 30 atividade(s) esperada(s)","[{""ativacoes_observadas"": 0, ""capability_id"": ""reactive_pressure_arbitration"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Ordenar pressões autorizadas e preservar compromissos adversariais.""}, {""ativacoes_observadas"": 1, ""capability_id"": ""dated_secret_canon"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 1, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Introduzir evento canônico reservado na data correta.""}]",70.78,sim,sim,7
sidequest_lifecycle,"Projetar, progredir e encerrar sidequests aceitas, incluindo recompensa e reação causal, de forma atômica e exactly-once.",direta,Continuidade e consequência das missões ativas,1.0.1,4.0.0,falha de instrumentação,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30,28,2,0,0,0,28,0,nao,,,0,0,0.0,,,,,,,,,N/D,N/D,0,0,falha_instrumentacao,0,0,0,,,,,"2 recibo(s) de cobertura ausente(s), 0 incompleto(s) e 0 duplicado(s) em 30 atividade(s) esperada(s)","[{""ativacoes_observadas"": 0, ""capability_id"": ""active_reassessment"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar de forma compacta o estado relevante das missões aceitas.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""transactional_progress"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Decidir e instalar fatos de progresso atomicamente.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""phase_and_terminal_progression"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Manter fases, prazos e condições terminais.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""terminal_rewards"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Aplicar recompensas, descobertas ou perdas exatamente uma vez.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""success_reactions"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir consequência causal pós-progresso sem reabrir a missão.""}]",70.0,sim,sim,8
canonical_quest_integration,"Integrar sidequests e causas canônicas sem promover hipótese a fato, editar o cânone-base ou revelar informação reservada.",reservada,Integração das missões com a trama principal,2.0.0,4.0.0,N/D,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,sim,,,,,,,,,,,,0,0,0.0,,,,,,,,,N/D,N/D,0,0,sem_evidencia,0,0,0,,,,,nenhuma evidência observável nesta sessão; desempenho permanece N/D,"[{""ativacoes_observadas"": 0, ""capability_id"": ""sidequest_to_canon_bridge"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Produzir ponte causal a partir de fato aceito da sidequest.""}, {""ativacoes_observadas"": 0, ""capability_id"": ""canon_to_quest_opportunity"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 0, ""oportunidades_elegiveis"": 0, ""responsabilidade"": ""Projetar oportunidade a partir de causa canônica reservada.""}]",35.0,sim,sim,9
rules_and_character_state,"Aplicar regras, rolagens, recursos, ficha e tempo de modo pré-comprometido, rastreável e consistente.",direta,Justiça das regras e consistência da ficha,1.0.1,4.0.0,ativou a contento,26,41,18,25,26,25,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,29,29,0,0,0,28,1,0,sim,,92.0,25,4271046,14.6964,178.205,524.096,100.0,92.0,100.0,,28.28,90.03,excelente,provisoria,0,0,aplicavel,0,0,0,,,,,2 efeito(s) inadequado(s),"[{""ativacoes_observadas"": 5, ""capability_id"": ""rules_resolution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 5, ""oportunidades_elegiveis"": 4, ""responsabilidade"": ""Definir dificuldade e modificadores antes da resolução.""}, {""ativacoes_observadas"": 4, ""capability_id"": ""roll_execution"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 4, ""oportunidades_elegiveis"": 4, ""responsabilidade"": ""Executar e preservar o resultado real da rolagem.""}, {""ativacoes_observadas"": 17, ""capability_id"": ""character_time_state"", ""custo"": ""exposicao_apenas"", ""eventos_observados"": 17, ""oportunidades_elegiveis"": 17, ""responsabilidade"": ""Registrar recursos, ficha e instante canônico de forma consistente.""}]",11.39,sim,nao,10
